recipe_id;building_id;building_name_de;building_name_en;mode_name_de;mode_name_en;workers;education;input_1_good_de;input_1_good;input_1_qty_per_worker_workday;input_2_good_de;input_2_good;input_2_qty_per_worker_workday;output_good_de;output_good;output_qty_per_worker_workday;profit_per_worker_workday;efficiency_basis_percent;measurement_basis;data_status;notes;source_url;secondary_source
creamery_dextrorotatory;creamery;Molkerei;Creamery;Rechtsdrehende Milchsäure;Dextrorotatory Lactic Acid;4;;Milch;Milk;2.25;;;;Käse;Cheese;3.75;13.425;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
creamery_laevorotatory;creamery;Molkerei;Creamery;Linksdrehende Milchsäure;Laevorotatory Acid;4;;Milch;Milk;2.3;;;;Käse;Cheese;3.8;13.56;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cigar_factory_normal;cigar_factory;Zigarrenfabrik;Cigar Factory;Normalbetrieb;Normal Mode;5;HS;Tabak;Tobacco;6.3;;;;Zigarren;Cigars;2.5;15.205;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cigar_factory_climate_control;cigar_factory;Zigarrenfabrik;Cigar Factory;Klimasteuerung;Climate Control;5;HS;Tabak;Tobacco;5.1;;;;Zigarren;Cigars;2.5;17.785;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
shipyard_planks;shipyard;Schiffswerft;Shipyard;Bretter;Planks;5;HS;Bretter;Planks;7.75;;;;Boote;Boat;1;15.725;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
shipyard_steel;shipyard;Schiffswerft;Shipyard;Stahl;Steel;5;HS;Stahl;Steel;3;;;;Boote;Boat;1;16.4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
shipyard_aluminium;shipyard;Schiffswerft;Shipyard;Aluminium;Aluminium;5;HS;Aluminium;Aluminium;6;;;;Boote;Boat;1;16.4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
steel_mill;steel_mill;Stahlwerk;Steel Mill;Standard;Standard;8;HS;Eisen;Iron;1.25;Kohle;Coal;1.25;Stahl;Steel;2.5;6.875;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
textile_mill_cotton;textile_mill;Textilfabrik;Textile Mill;Baumwolle;Cotton;10;;Baumwolle;Cotton;3.2;;;;Stoff;Cloth;2;6.08;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
textile_mill_wool;textile_mill;Textilfabrik;Textile Mill;Wolle;Wool;10;;Wolle;Wool;1.8;;;;Stoff;Cloth;2;6.17;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
textile_mill_unified_weaving;textile_mill;Textilfabrik;Textile Mill;Einheitliche Webzuführung;Unified Weaving Feeder;10;;Baumwolle;Cotton;0.8;Wolle;Wool;0.45;Stoff;Cloth;2.65;11.76;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
weapon_factory;weapons_factory;Waffenfabrik;Weapons Factory;Standard;Standard;8;HS;Stahl;Steel;2.5;Nickel;Nickel;1.5;Waffen;Weapons;2;10.7;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
chocolate_factory_sweet;chocolate_factory;Schokoladenfabrik;Chocolate Factory;Süße Schokolade;Sweet Chocolate;5;;Kakao;Cocoa;2;Zucker;Sugar;2.7;Schokolade;Chocolate;3;8.85;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
chocolate_factory_dark;chocolate_factory;Schokoladenfabrik;Chocolate Factory;Dunkle Schokolade;Dark Chocolate;5;;Kakao;Cocoa;4;;;;Schokolade;Chocolate;3;8.4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
furniture_factory_planks;furniture_factory;Möbelfabrik;Furniture Factory;Bretter;Planks;5;;Bretter;Planks;7.8;;;;Möbel;Furniture;2;8.42;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
furniture_factory_plastics;furniture_factory;Möbelfabrik;Furniture Factory;Kunststoffe;Plastics;5;;Kunststoffe;Plastics;6.5;;;;Möbel;Furniture;2;7.9;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
jewelry_workshop;jewelry_workshop;Juwelierwerkstatt;Jewelry Workshop;Standard;Standard;4;HS;Gold;Gold;1.5;;;;Schmuck;Jewelry;1.525;11.6625;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plastic_plant_standard_oil;plastics_plant;Kunststofffabrik;Plastics Plant;Standardfertigung (Öl);Standard Fabrication (Oil);5;;Öl;Oil;0.8;;;;Kunststoffe;Plastics;6.5;10.98;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plastic_plant_standard_corn;plastics_plant;Kunststofffabrik;Plastics Plant;Standardfertigung (Mais);Standard Fabrication (Corn);5;;Mais;Corn;2.7;;;;Kunststoffe;Plastics;6.5;11.5;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plastic_plant_high_speed_oil;plastics_plant;Kunststofffabrik;Plastics Plant;Hochgeschwindigkeitsfertigung (Öl);High Speed Fabrication (Oil);5;;Öl;Oil;1.6;;;;Kunststoffe;Plastics;11.5;18.06;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plastic_plant_high_speed_corn;plastics_plant;Kunststofffabrik;Plastics Plant;Hochgeschwindigkeitsfertigung (Mais);High Speed Fabrication (Corn);5;;Mais;Corn;5.45;;;;Kunststoffe;Plastics;11.4;18.74;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
vehicle_factory;vehicle_factory;Fahrzeugfabrik;Vehicle Factory;Standard;Standard;10;HS;Stahl;Steel;2;Gummi;Rubber;2.3;Autos;Car;1;10.24;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
electronics_factory;electronics_factory;Elektronikfabrik;Electronics Factory;Standard;Standard;8;HS;Kunststoffe;Plastics;4.1;Gold;Gold;0.375;Elektronik;Electronics;2.75;12.915;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
fashion_company_leather;fashion_company;Modeunternehmen;Fashion Company;Leder;Leather;4;;Leder;Leather;4;;;;Kleidung;Apparel;3;18;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
fashion_company_cloth;fashion_company;Modeunternehmen;Fashion Company;Stoff;Cloth;4;;Stoff;Cloth;4.4;;;;Kleidung;Apparel;3;16.72;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
fashion_company_leather_cloth;fashion_company;Modeunternehmen;Fashion Company;Leder und Stoff;Leather and Cloth;4;;Stoff;Cloth;2;Leder;Leather;2;Kleidung;Apparel;3;18.4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
pharmaceutical_company_generics;pharmaceutical_company;Pharmaunternehmen;Pharmaceutical Company;Echte Generika;Genuine Generics;6;HS;Öl;Oil;1.3;;;;Pharmazeutika;Pharmaceuticals;2.5;17.63;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
pharmaceutical_company_placebos;pharmaceutical_company;Pharmaunternehmen;Pharmaceutical Company;Starke Placebos;Powerful Placebos;6;HS;Zucker;Sugar;2.5;;;;Pharmazeutika;Pharmaceuticals;2.5;21;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_banana;juicery;Saftfabrik;Juicery;Banane;Banana;5;;Bananen;Banana;9.1;;;;Saft;Juice;5;11.53;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_pineapple;juicery;Saftfabrik;Juicery;Ananas;Pineapple;5;;Ananas;Pineapple;9.1;;;;Saft;Juice;5;12.44;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_coconut;juicery;Saftfabrik;Juicery;Kokosnuss;Coconut;5;;Kokosnüsse;Coconut;7.5;;;;Saft;Juice;5;14.625;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_banana_pineapple;juicery;Saftfabrik;Juicery;Banane-Ananas;Banana-Pineapple;5;;Bananen;Banana;4.55;Ananas;Pineapple;4.55;Saft;Juice;5;11.985;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_banana_coconut;juicery;Saftfabrik;Juicery;Banane-Kokosnuss;Banana-Coconut;5;;Bananen;Banana;4.55;Kokosnüsse;Coconut;3.75;Saft;Juice;5;13.0775;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
juicery_coconut_pineapple;juicery;Saftfabrik;Juicery;Kokosnuss-Ananas;Coconut-Pineapple;5;;Kokosnüsse;Coconut;3.75;Ananas;Pineapple;4.55;Saft;Juice;5;13.5325;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_corn;plantation;Plantage;Plantation;Mais;Corn;8;;;;;;;;Mais;Corn;2;4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_banana;plantation;Plantage;Plantation;Banane;Banana;8;;;;;;;;Bananen;Banana;2.5;4.25;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_pineapple;plantation;Plantage;Plantation;Ananas;Pineapple;8;;;;;;;;Ananas;Pineapple;2.5;4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_sugar;plantation;Plantage;Plantation;Zucker;Sugar;8;;;;;;;;Zucker;Sugar;1.5;3.75;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_cocoa;plantation;Plantage;Plantation;Kakao;Cocoa;8;;;;;;;;Kakao;Cocoa;1;3.6;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_tobacco;plantation;Plantage;Plantation;Tabak;Tobacco;8;;;;;;;;Tabak;Tobacco;1.8;3.87;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_coffee;plantation;Plantage;Plantation;Kaffee;Coffee;8;;;;;;;;Kaffee;Coffee;1;3.8;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_cotton;plantation;Plantage;Plantation;Baumwolle;Cotton;8;;;;;;;;Baumwolle;Cotton;3.5;4.725;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
plantation_rubber;plantation;Plantage;Plantation;Gummi;Rubber;8;;;;;;;;Gummi;Rubber;1.2;3.84;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_corn;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Mais;Corn;4;HS;;;;;;;Mais;Corn;4.5;9;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_banana;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Banane;Banana;4;HS;;;;;;;Bananen;Banana;5.65;9.605;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_pineapple;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Ananas;Pineapple;4;HS;;;;;;;Ananas;Pineapple;5.65;9.04;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_sugar;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Zucker;Sugar;4;HS;;;;;;;Zucker;Sugar;3.4;8.5;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_cocoa;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Kakao;Cocoa;4;HS;;;;;;;Kakao;Cocoa;2.25;8.1;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_tobacco;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Tabak;Tobacco;4;HS;;;;;;;Tabak;Tobacco;4;8.6;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_coffee;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Kaffee;Coffee;4;HS;;;;;;;Kaffee;Coffee;2.25;8.55;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_cotton;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Baumwolle;Cotton;4;HS;;;;;;;Baumwolle;Cotton;7.9;10.665;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
hydroponic_rubber;hydroponic_plantation;Hydrokulturplantage;Hydroponic Plantation;Gummi;Rubber;4;HS;;;;;;;Gummi;Rubber;2.8;8.96;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_cattle_meat;ranch;Ranch;Ranch;Rinder (Fleischschwerpunkt);Cattle (Meat Focus);4;;;;;;;;Fleisch;Meat;1.5;4.95;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_cattle_hides;ranch;Ranch;Ranch;Rinder (Häuteschwerpunkt);Cattle (Hides Focus);4;;;;;;;;Häute;Hides;2;4.95;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_sheep_wool;ranch;Ranch;Ranch;Schafe (Wollschwerpunkt);Sheep (Wool Focus);4;;;;;;;;Wolle;Wool;1.5;4.625;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_sheep_milk;ranch;Ranch;Ranch;Schafe (Milchschwerpunkt);Sheep (Milk Focus);4;;;;;;;;Milch;Milk;0.5;4.625;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_crocodile;ranch;Ranch;Ranch;Krokodile;Crocodile;4;;;;;;;;Leder;Leather;0.8;4.32;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_pig;ranch;Ranch;Ranch;Schweine;Pig;4;;;;;;;;Fleisch;Meat;2;4.6;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_llama;ranch;Ranch;Ranch;Lamas;Llama;4;;;;;;;;Wolle;Wool;2;4.7;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
ranch_goat;ranch;Ranch;Ranch;Ziegen;Goat;4;;;;;;;;Milch;Milk;2;4.4;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
factory_ranch_cattle_meat;factory_ranch;Industrielle Ranch;Factory Ranch;Rinder (Fleischschwerpunkt);Cattle (Meat Focus);4;;Mais;Corn;3;;;;Fleisch;Meat;6;13.8;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
factory_ranch_cattle_hides;factory_ranch;Industrielle Ranch;Factory Ranch;Rinder (Häuteschwerpunkt);Cattle (Hides Focus);4;;Mais;Corn;3;;;;Häute;Hides;8;13.8;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
factory_ranch_sheep_wool;factory_ranch;Industrielle Ranch;Factory Ranch;Schafe (Wollschwerpunkt);Sheep (Wool Focus);4;;Mais;Corn;3;;;;Wolle;Wool;6;12.5;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
